foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Bezos Family Foundation,2023,"EL Education, Inc.",998802,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"EL Education, Inc.",1522663,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Earth Force,150000,General Support,Denver,CO,pdf:912073258_202312
Bezos Family Foundation,2023,East African Community Services,125000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Eden Reforestation Projects,250000,General Support,Glendora,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Educate Tomorrow,150000,General Support,Miami Shores,FL,pdf:912073258_202312
Bezos Family Foundation,2023,Embrace Global,150000,General Support,Rhinebeck,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Employee Giving Program Match,4460,General Support,Mercer Island,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Envision Utah,166001,General Support,Salt Lake City,UT,pdf:912073258_202312
Bezos Family Foundation,2023,FEEST,110000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,FEEST,110000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,FIRST (National),250000,General Support,Manchester,NH,pdf:912073258_202312
Bezos Family Foundation,2023,FIRST Washington,151000,General Support,Kent,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Facing History & Ourselves,507115,General Support,Brookline,MA,pdf:912073258_202312
Bezos Family Foundation,2023,Family Connects International,400000,General Support,,,pdf:912073258_202312
Bezos Family Foundation,2023,First 5 Fundamentals,311572,General Support,Tacoma,WA,pdf:912073258_202312
Bezos Family Foundation,2023,"Foundation for Excellence in Education, Inc",75000,General Support,Tallahassee,FL,pdf:912073258_202312
Bezos Family Foundation,2023,"Foundation for Excellence in Education, Inc",5000,General Support,Tallahassee,FL,pdf:912073258_202312
Bezos Family Foundation,2023,"Fugees Family, Inc",329968,General Support,Columbus,OH,pdf:912073258_202312
Bezos Family Foundation,2023,Generation Citizen,304289,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"Girls Who Code, Inc.",250000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Global Nomads Group,1099415,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Grantmakers for Education,25000,General Support,Portland,OR,pdf:912073258_202312
Bezos Family Foundation,2023,Green Chimneys,250000,General Support,Brewster,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Harlem Children's Zone,250000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"Harlem Grown, Inc.",100000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Harold K. L. Castle Foundation,350000,General Support,Kailua,HI,pdf:912073258_202312
