foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Charles and Lynn Schusterman Family Foundation,2021,ARIZOU DBA BASTA,100000,GENERAL OPERATING SUPPORT,F BROOKLYN,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ART LOISAIDA FOUNDATION,25000,"FILM ""THEY SURVIVED TOGETHER""",NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ARTIS CONTEMPORARY ISRAELI ART FUND INC,100000,ARTIS FUND,FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ASIAN AMERICANS ADVANCING JUSTICE ATLANTA INC,50000,ASIAN AMERICANS ADVANCING JUSTICE-ATLANTA EMERGENCY SUPPORT,OAKBROOK PARKWAY NORCROSS,GA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ASSOCIATION OF FUNDRAISING PROFESSIONALS OK EASTERN CHAPTER PO BOX 33103,750,GENERAL OPERATING SUPPORT,TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ASSOCIATION OF ISRAEL'S DECORATIVE ARTS,10000,GENERAL OPERATING SUPPORT,A POMPANO BEACH,FL,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ASYLUM ARTS INC,100000,ASYLUM ARTS,BROOKLYN,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"AT THE WELL PROJECT, INC.",200000,GENERAL OPERATING SUPPORT,ST NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"AUBIN PICTURES, INC. PO BOX 214",100000,GENERAL OPERATING SUPPORT,NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,AUBURN THEOLOGICAL SEMINARY,10000,CHAMPION SPONSORSHIP FOR LIVES OF COMMITMENT 2021 IN HONOR OF BARBARA DOBKIN,NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,AUSTIN JUSTICE COALITION,125000,GENERAL OPERATING SUPPORT,STREET AUSTIN,TX,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,AVODAH: THE JEWISH SERVICE CORPS,400000,AVODAH STRATEGIC GROWTH,B NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,AVODAH: THE JEWISH SERVICE CORPS,400000,BRIDGE GRANT FOR MAINTAINING WORK AND DEVELOPING NEW WORK IN RESPONSE TO COVID AND RACIAL INJUSTICE,B NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BAY AREA HYBRID COLLEGE INITIATIVE,175000,RIVET SCHOOL: SUPPORT FOR EXPANSION OF EDUCATOR PATHWAY,MACDONALD AVE RICHMOND,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BBYO,100000,BRINGING TO LIFE A GLOBAL MOVEMENT OF JEWISH TEENS,STREET NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BBYO,100000,CAPACITY BUILDING PROJECT,STREET NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BBYO,3000000,GENERAL OPERATING SUPPORT,STREET NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BBYO,25200,GRANTEE CARE AND SUPPORT FUND,STREET NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BBYO,250000,ISRAEL REFRESH - ILSI,STREET NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BELLWETHER EDUCATION PARTNERS INC,250000,SUMMER LEARNING: NSSI,SUDBURY,MA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BELLXCEL DBA THE B.E.L.L. FOUNDATION INC,500000,SUMMER LEARNING | BELLXCEL SUMMER PROGRAMMING,A WESTWOOD,MA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BEND THE ARC: A JEWISH PARTNERSHIP FOR JUSTICE,50000,"BUILDING THE NEXT GENERATION OF REFLECTIVE, VALUES-DRIVEN JEWISH LEADERSHIP",FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"BEYOND 12 EDUCATION, INC",250000,STRATEGIC PLANNING PROCESS,CLAY STREET OAKLAND,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BIRTHRIGHT ISRAEL FOUNDATION,500000,BIRTHRIGHT EXCEL,FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BIRTHRIGHT ISRAEL FOUNDATION,19620,GRANTEE CARE AND SUPPORT FUND,FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BIRTHRIGHT ISRAEL FOUNDATION,37500,IBP COLLABORATION GRANT: BIRTHRIGHT EXCEL/ITC TECH COURSES,FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BLUE MERIDIAN PARTNERS INC,25046000,GENERAL OPERATING SUPPORT,FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BLUE MERIDIAN PARTNERS INC,8541908,JUSTICE AND MOBILITY FUND,FLOOR NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BOGGS EDUCATIONAL CENTER PROJECT TEAM,27000,SUMMER LEARNING,GOETHE ST. DETROIT,MI,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BOOKER T. WASHINGTON FOUNDATION FOR EXCELLENCE PO BOX 52663 TULSA,3000,GENERAL OPERATING SUPPORT,,,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BOREALIS PHILANTHROPY PO BOX 3295,500000,PROJECT SUPPORT TO THE SPARK JUSTICE FUND AND THE COMMUNITIES TRANSFORMING POLICING FUND,MINNEAPOLIS,MN,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BOSTON MEDICAL CENTER CORPORATION,100000,CHILDREN'S HEALTHWATCH,CENTER PLACE BOSTON,MA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BOUNDLESS ISRAEL INC,150000,ISRAEL EDUCATION INITIATIVE,WARREN ST. WALTHAM,MA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"BOYS & GIRLS CLUBS OF GREATER WASHINGTON, INC.",120000,SUMMER LEARNING: BGCGW SUMMER DIGITAL AND ACADEMIC LEARNING PLAN,ROAD NE WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BRANDEIS HILLEL DAY SCHOOL - MARIN,5000,VIRTUAL SPRING SIMCHA,RD SAN RAFAEL,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"BRAVEN, INC.",325000,GENERAL OPERATING SUPPORT,SALLE STREET CHICAGO,IL,char500:731312965_2021
