foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Wyss Foundation,2022,WHEATON COLLEGE,50000,CHARITABLE CONTRIBUTION,WHEATON,,pdf:251823874_202212
Wyss Foundation,2022,WILDERNESS WORKSHOP,60000,CHARITABLE CONTRIBUTION,CARBONDALE,,pdf:251823874_202212
Wyss Foundation,2022,WILDLIFE CONSERVATION SOCIETY,1573700,CHARITABLE CONTRIBUTION,NEW BRONX,,pdf:251823874_202212
Wyss Foundation,2022,WORLD HEALTH DENTAL ORGANIZATION,100000,CHARITABLE CONTRIBUTION,TOWNSEND PORT,WA,pdf:251823874_202212
Wyss Foundation,2022,WYOMING OUTDOOR COUNCIL,125000,CHARITABLE CONTRIBUTION,LANDER,WY,pdf:251823874_202212
Wyss Foundation,2022,FOR BIO ENGINEERING WYSS CENTER & NEURO,18591426,CHARITABLE CONTRIBUTION,SWITZERLAND GENEVA,,pdf:251823874_202212
Wyss Foundation,2022,ZURICH FOUNDATION WYSS,33527382,CHARITABLE CONTRIBUTION,ZURICH SWITZERLAND,,pdf:251823874_202212
Wyss Foundation,2022,YALE UNIVERSITY,307065,CHARITABLE CONTRIBUTION,CONNECTICUT NEW HAVEN,,pdf:251823874_202212
Wyss Foundation,2022,YEAR UP,1000000,CHARITABLE CONTRIBUTION,BOSTON,MA,pdf:251823874_202212
Wyss Foundation,2022,YELLOWSTONE YUKON CONSERVATION INITIATIVE TO,100000,CHARITABLE CONTRIBUTION,BOZEMAN MONTANA,,pdf:251823874_202212
Wyss Foundation,2022,VALUE PARTNERSHIP BAUPOST PARTNERS LP I PASS - THROUGH,99,CHARITABLE CONTRIBUTION,BOSTON,MA,pdf:251823874_202212
Wyss Foundation,2022,VALUE PARTNERSHIP BAUPOST PARTNERS LP III PASS - THROUGH,729,CHARITABLE CONTRIBUTION,BOSTON,MA,pdf:251823874_202212
Wyss Foundation,2022,NORDWAND CAPITAL PARTNERSHIP LLC PASS - THROUGH,2,CHARITABLE CONTRIBUTION,RADNOR,PA,pdf:251823874_202212
